tx_price,sqft,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,median_school,num_schools,tx_year
295850,584,107,9,30,19,89,6,47,58,33,65,84,234,9,3,2013
216500,612,105,15,6,13,87,2,26,14,39,73,69,169,3,3,2006
279900,615,183,13,31,30,101,10,74,62,28,15,86,216,8,3,2012
379900,618,198,9,38,25,127,11,72,83,36,25,91,265,9,3,2005
340000,634,149,7,22,20,83,10,50,73,37,20,75,88,9,3,2002
265000,641,146,10,23,27,86,9,60,52,28,15,86,168,8,3,2004
240000,642,159,13,36,17,92,12,66,50,28,36,88,176,7,3,2011
388100,650,198,9,38,25,127,11,72,83,36,25,91,266,9,3,2005
240000,660,51,8,6,2,40,18,32,41,36,49,77,188,6,3,2013
250000,664,119,10,26,25,183,13,70,36,57,13,83,147,6,3,2007
335000,669,148,10,27,23,57,5,37,29,34,29,88,248,6,3,2015
376750,673,193,10,37,27,133,10,74,86,29,15,82,262,9,3,2006
210000,680,8,1,0,3,10,1,10,10,60,15,63,147,4,3,2006
289900,685,189,13,37,31,102,11,75,64,28,15,86,195,8,3,2005
535000,687,266,12,54,45,328,35,126,88,28,52,72,421,8,3,2014
218000,689,150,6,20,27,329,12,83,46,32,33,92,188,10,3,2009
400000,689,198,9,38,25,126,12,72,84,29,15,82,276,9,3,2016
226000,690,60,3,9,15,156,3,30,12,36,47,83,221,8,3,2008
363700,692,180,14,37,34,104,13,72,68,36,25,75,302,8,3,2007
215000,698,31,6,5,8,32,2,19,14,32,60,47,120,7,3,2005
327000,698,146,7,22,20,79,10,49,74,27,21,94,256,9,3,2010
331100,700,146,7,22,20,79,10,49,74,27,21,94,251,9,3,2012
240000,703,82,6,7,8,45,6,52,13,30,46,36,139,7,3,2005
320000,704,99,8,8,11,103,4,47,34,31,30,99,261,8,3,2007
290800,704,99,9,8,11,103,4,46,34,31,30,99,257,8,3,2006
375000,705,182,10,31,25,103,10,63,83,33,21,99,244,9,3,2005
377000,709,213,13,44,30,108,11,91,88,33,40,96,316,5,3,2008
262500,711,51,9,6,2,43,18,35,42,36,49,77,201,6,3,2014
216250,712,53,13,7,3,43,19,43,41,36,23,90,187,6,3,2004
270000,722,101,8,8,11,74,4,30,26,33,48,85,218,4,3,2005
235000,723,102,8,8,11,103,4,47,34,31,30,99,278,8,3,2009
225000,724,122,11,27,25,183,12,69,36,57,13,83,118,6,3,2009
370000,725,198,9,38,26,127,11,72,83,36,25,91,306,9,3,2011
232000,736,31,3,7,8,77,1,14,11,36,47,83,243,8,3,2008
281900,737,109,9,7,17,97,5,38,31,32,34,50,229,4,3,2005
355000,740,201,11,40,28,131,10,73,85,36,25,91,298,9,3,2006
350000,741,198,9,38,26,127,11,72,83,36,25,91,291,9,3,2009
231900,750,100,8,9,10,85,9,81,28,35,63,70,118,7,3,2005
284000,755,41,5,3,4,46,2,31,16,40,64,77,258,10,3,2012
255000,759,150,8,37,23,95,10,73,74,31,23,81,190,9,3,2012
285850,759,99,9,8,11,103,4,46,34,31,30,99,266,8,3,2006
249298,759,49,6,4,5,33,1,17,25,27,38,35,251,5,3,2012
380000,760,192,17,40,31,112,11,81,77,31,13,84,291,8,3,2011
244800,767,54,11,7,4,55,16,39,41,34,44,90,190,6,3,2011
397400,771,213,13,44,30,108,11,91,88,33,40,96,345,5,3,2005
345000,781,54,8,6,3,48,16,37,44,33,35,72,284,6,3,2007
220000,792,31,5,4,4,33,0,37,11,35,50,82,221,8,3,2009
279000,796,134,5,22,28,314,7,96,34,64,52,63,286,8,3,2014
286900,797,58,3,4,11,166,6,36,9,32,69,70,184,7,3,2006
220000,800,18,1,0,3,15,0,5,11,39,64,81,184,6,3,2015
305000,805,46,8,6,3,51,15,33,37,36,37,80,150,4,3,2005
409575,805,193,10,37,27,133,10,74,86,29,15,82,302,9,3,2006
300367,805,71,13,5,13,31,12,48,28,32,43,63,261,5,3,2007
230000,809,48,7,3,9,49,2,36,48,40,41,90,172,9,3,2007
270000,810,78,18,15,15,70,6,45,30,45,47,54,190,3,3,2005
210000,811,60,12,10,10,76,8,36,37,30,72,34,143,4,3,2011
366700,817,124,12,10,15,111,12,65,41,32,32,88,274,7,3,2006
238600,834,45,12,9,11,28,7,33,20,43,32,66,185,2,3,2013
284900,838,71,13,5,13,31,12,48,28,32,43,63,249,5,3,2008
253000,850,97,15,11,12,97,2,70,25,32,13,72,146,2,3,2005
305000,850,66,11,5,11,24,5,50,15,56,24,66,200,5,3,2006
280000,850,66,11,5,9,28,5,52,14,56,24,66,180,5,3,2005
411000,855,79,10,11,11,66,6,43,40,36,36,90,298,9,3,2007
270900,856,65,8,6,7,51,6,33,35,33,16,72,167,4,3,2005
406250,859,201,11,40,28,131,10,73,85,36,25,91,316,9,3,2006
365000,866,190,7,34,36,194,12,62,33,32,31,85,277,6,3,2015
440000,879,198,9,38,25,126,12,72,84,29,15,82,367,9,3,2009
250000,880,64,8,6,7,51,8,34,33,37,42,57,125,4,3,2005
350100,900,44,15,1,4,51,3,20,5,31,51,47,294,4,3,2006
250000,900,119,10,26,25,183,13,70,36,57,13,83,198,6,3,2011
